doc_id,scenario,doc_type,expected_human_resolution,modify_instructions,criteria_json,feature_schema_version,sim_run_id,seed,sequence_no,doc_text
doc-0001,complete_invoice,invoice,approve,,"[{""criterion_id"": ""c_doc_type_recognized"", ""criterion_text"": ""Document type is recognized"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""doc_type"": ""invoice"", ""doc_type_unrecognized"": false}}, {""criterion_id"": ""c_no_missing_fields"", ""criterion_text"": ""Document has no missing required fields"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""has_missing_fields"": false}}, {""criterion_id"": ""c_not_ambiguous"", ""criterion_text"": ""Document content is not ambiguous or unclassifiable"", ""evaluator_type"": ""llm"", ""hardness"": ""soft"", ""status"": ""met"", ""signals"": {""agent_flagged_ambiguous"": false}}, {""criterion_id"": ""c_amount_not_suspicious"", ""criterion_text"": ""Document amount is not anomalously large or suspicious"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""suspicious_amount"": false}}]",triage_v1,sim-run-001,1,1,"INVOICE #INV-6762
From: Global Solutions LLC | To: Initech LLC
Date: 2026-04-29 | Due: 2026-06-28
Item: Consulting Services - 32 units @ $98 each
Subtotal: $3,136 | Tax (8%): $251 | Total: $3,387
PO Number: PO-851306
Payment: Bank transfer to Global Solutions LLC account #0869757953"
doc-0002,missing_approvals,other,modify,Please request missing signature and cost center before acceptance.,"[{""criterion_id"": ""c_doc_type_recognized"", ""criterion_text"": ""Document type is recognized"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""not_met"", ""signals"": {""doc_type"": ""other"", ""doc_type_unrecognized"": true}}, {""criterion_id"": ""c_no_missing_fields"", ""criterion_text"": ""Document has no missing required fields"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""has_missing_fields"": false}}, {""criterion_id"": ""c_not_ambiguous"", ""criterion_text"": ""Document content is not ambiguous or unclassifiable"", ""evaluator_type"": ""llm"", ""hardness"": ""soft"", ""status"": ""met"", ""signals"": {""agent_flagged_ambiguous"": false}}, {""criterion_id"": ""c_amount_not_suspicious"", ""criterion_text"": ""Document amount is not anomalously large or suspicious"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""suspicious_amount"": false}}]",triage_v1,sim-run-001,1,2,"EXPENSE REIMBURSEMENT FORM
Employee: Alice Chen
Department: Engineering
Date Submitted: 2026-06-09
Expense Date: 2026-05-31
Amount: $37,289
Category: Travel
Business Purpose: Office equipment for remote work
Receipt Attached: Yes
Supervisor Signature: ________________
Cost Center: ________________
Approval Code: ________________"
doc-0003,complete_contract,contract,approve,,"[{""criterion_id"": ""c_doc_type_recognized"", ""criterion_text"": ""Document type is recognized"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""doc_type"": ""contract"", ""doc_type_unrecognized"": false}}, {""criterion_id"": ""c_no_missing_fields"", ""criterion_text"": ""Document has no missing required fields"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""has_missing_fields"": false}}, {""criterion_id"": ""c_not_ambiguous"", ""criterion_text"": ""Document content is not ambiguous or unclassifiable"", ""evaluator_type"": ""llm"", ""hardness"": ""soft"", ""status"": ""met"", ""signals"": {""agent_flagged_ambiguous"": false}}, {""criterion_id"": ""c_amount_not_suspicious"", ""criterion_text"": ""Document amount is not anomalously large or suspicious"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""suspicious_amount"": false}}]",triage_v1,sim-run-001,1,3,"SERVICE AGREEMENT
This agreement is entered into between Summit Consulting Group (""Provider"") and Oscorp Ltd (""Client"").
Services: Training Services services for 16 months
Duration: 4 months commencing 2025-01-09
Monthly Rate: $341
Total Value: $11,048
Payment Terms: Net 60 days
Governing Law: New York State Law
Signed: /s/ M. Brown (Summit Consulting Group)   /s/ T. Martinez (Oscorp Ltd)
Date: 2025-01-09"
doc-0004,complete_invoice,invoice,approve,,"[{""criterion_id"": ""c_doc_type_recognized"", ""criterion_text"": ""Document type is recognized"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""doc_type"": ""invoice"", ""doc_type_unrecognized"": false}}, {""criterion_id"": ""c_no_missing_fields"", ""criterion_text"": ""Document has no missing required fields"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""has_missing_fields"": false}}, {""criterion_id"": ""c_not_ambiguous"", ""criterion_text"": ""Document content is not ambiguous or unclassifiable"", ""evaluator_type"": ""llm"", ""hardness"": ""soft"", ""status"": ""met"", ""signals"": {""agent_flagged_ambiguous"": false}}, {""criterion_id"": ""c_amount_not_suspicious"", ""criterion_text"": ""Document amount is not anomalously large or suspicious"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""suspicious_amount"": false}}]",triage_v1,sim-run-001,1,4,"INVOICE #INV-3230
From: Vertex Analytics | To: Oscorp Ltd
Date: 2025-04-16 | Due: 2025-06-15
Item: Data Analysis - 19 units @ $468 each
Subtotal: $8,892 | Tax (8%): $711 | Total: $9,603
PO Number: PO-797333
Payment: Bank transfer to Vertex Analytics account #0364277884"
doc-0005,foreign_language,invoice,modify,Please translate/extract the invoice fields before routing.,"[{""criterion_id"": ""c_doc_type_recognized"", ""criterion_text"": ""Document type is recognized"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""doc_type"": ""invoice"", ""doc_type_unrecognized"": false}}, {""criterion_id"": ""c_no_missing_fields"", ""criterion_text"": ""Document has no missing required fields"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""has_missing_fields"": false}}, {""criterion_id"": ""c_not_ambiguous"", ""criterion_text"": ""Document content is not ambiguous or unclassifiable"", ""evaluator_type"": ""llm"", ""hardness"": ""soft"", ""status"": ""not_met"", ""signals"": {""agent_flagged_ambiguous"": true}}, {""criterion_id"": ""c_amount_not_suspicious"", ""criterion_text"": ""Document amount is not anomalously large or suspicious"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""suspicious_amount"": false}}]",triage_v1,sim-run-001,1,5,"请款单 #INV-8558
供应商: Nexus Partners | 客户: Oscorp Ltd
日期: 2025-06-11
服务项目: Project Management
金额: $44263 USD
付款条件: 30天

[Translation: Invoice from Nexus Partners to Oscorp Ltd, amount $44263, 30-day payment terms]"
doc-0006,missing_approvals,other,modify,Please request missing signature and cost center before acceptance.,"[{""criterion_id"": ""c_doc_type_recognized"", ""criterion_text"": ""Document type is recognized"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""not_met"", ""signals"": {""doc_type"": ""other"", ""doc_type_unrecognized"": true}}, {""criterion_id"": ""c_no_missing_fields"", ""criterion_text"": ""Document has no missing required fields"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""has_missing_fields"": false}}, {""criterion_id"": ""c_not_ambiguous"", ""criterion_text"": ""Document content is not ambiguous or unclassifiable"", ""evaluator_type"": ""llm"", ""hardness"": ""soft"", ""status"": ""met"", ""signals"": {""agent_flagged_ambiguous"": false}}, {""criterion_id"": ""c_amount_not_suspicious"", ""criterion_text"": ""Document amount is not anomalously large or suspicious"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""suspicious_amount"": false}}]",triage_v1,sim-run-001,1,6,"EXPENSE REIMBURSEMENT FORM
Employee: Emma Torres
Department: Product
Date Submitted: 2026-02-11
Expense Date: 2026-02-05
Amount: $29,213
Category: Equipment
Business Purpose: Project-related supplies
Receipt Attached: Yes
Supervisor Signature: ________________
Cost Center: ________________
Approval Code: ________________"
doc-0007,foreign_language,invoice,modify,Please translate/extract the invoice fields before routing.,"[{""criterion_id"": ""c_doc_type_recognized"", ""criterion_text"": ""Document type is recognized"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""doc_type"": ""invoice"", ""doc_type_unrecognized"": false}}, {""criterion_id"": ""c_no_missing_fields"", ""criterion_text"": ""Document has no missing required fields"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""has_missing_fields"": false}}, {""criterion_id"": ""c_not_ambiguous"", ""criterion_text"": ""Document content is not ambiguous or unclassifiable"", ""evaluator_type"": ""llm"", ""hardness"": ""soft"", ""status"": ""not_met"", ""signals"": {""agent_flagged_ambiguous"": true}}, {""criterion_id"": ""c_amount_not_suspicious"", ""criterion_text"": ""Document amount is not anomalously large or suspicious"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""suspicious_amount"": false}}]",triage_v1,sim-run-001,1,7,"FACTURA No. INV-5205
De: Global Solutions LLC | Para: Wayne Industries
Fecha: 2026-02-26
Descripción: Technical Support
Importe: $30782 USD
Condiciones: Pago en 30 días

[Translation: Invoice from Global Solutions LLC to Wayne Industries, amount $30782, payment in 30 days]"
doc-0008,incomplete_form,form,reject,,"[{""criterion_id"": ""c_doc_type_recognized"", ""criterion_text"": ""Document type is recognized"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""doc_type"": ""form"", ""doc_type_unrecognized"": false}}, {""criterion_id"": ""c_no_missing_fields"", ""criterion_text"": ""Document has no missing required fields"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""not_met"", ""signals"": {""has_missing_fields"": true}}, {""criterion_id"": ""c_not_ambiguous"", ""criterion_text"": ""Document content is not ambiguous or unclassifiable"", ""evaluator_type"": ""llm"", ""hardness"": ""soft"", ""status"": ""met"", ""signals"": {""agent_flagged_ambiguous"": false}}, {""criterion_id"": ""c_amount_not_suspicious"", ""criterion_text"": ""Document amount is not anomalously large or suspicious"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""suspicious_amount"": false}}]",triage_v1,sim-run-001,1,8,"EXPENSE REIMBURSEMENT FORM
Employee: Carol White
Department: Legal
Date Submitted: 2026-07-15
Expense Date: 2026-07-11
Amount: $30,102
Category: Software
Business Purpose: Annual software license renewal
Receipt Attached: Yes
Supervisor Signature: ________________
Cost Center: ________________
Approval Code: ________________"
doc-0009,suspicious_amount,invoice,reject,,"[{""criterion_id"": ""c_doc_type_recognized"", ""criterion_text"": ""Document type is recognized"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""doc_type"": ""invoice"", ""doc_type_unrecognized"": false}}, {""criterion_id"": ""c_no_missing_fields"", ""criterion_text"": ""Document has no missing required fields"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""has_missing_fields"": false}}, {""criterion_id"": ""c_not_ambiguous"", ""criterion_text"": ""Document content is not ambiguous or unclassifiable"", ""evaluator_type"": ""llm"", ""hardness"": ""soft"", ""status"": ""not_met"", ""signals"": {""agent_flagged_ambiguous"": true}}, {""criterion_id"": ""c_amount_not_suspicious"", ""criterion_text"": ""Document amount is not anomalously large or suspicious"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""not_met"", ""signals"": {""suspicious_amount"": true}}]",triage_v1,sim-run-001,1,9,"INVOICE #INV-5035
From: Vertex Analytics | To: Stark Enterprises
Date: 2026-07-27
Services: System Integration
Amount Due: $750,000
Payment Required Within: 24 hours
Wire Transfer Only: Account #3755193309, Routing #499989981
NO RECEIPT AVAILABLE"
doc-0010,foreign_language,invoice,modify,Please translate/extract the invoice fields before routing.,"[{""criterion_id"": ""c_doc_type_recognized"", ""criterion_text"": ""Document type is recognized"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""doc_type"": ""invoice"", ""doc_type_unrecognized"": false}}, {""criterion_id"": ""c_no_missing_fields"", ""criterion_text"": ""Document has no missing required fields"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""has_missing_fields"": false}}, {""criterion_id"": ""c_not_ambiguous"", ""criterion_text"": ""Document content is not ambiguous or unclassifiable"", ""evaluator_type"": ""llm"", ""hardness"": ""soft"", ""status"": ""not_met"", ""signals"": {""agent_flagged_ambiguous"": true}}, {""criterion_id"": ""c_amount_not_suspicious"", ""criterion_text"": ""Document amount is not anomalously large or suspicious"", ""evaluator_type"": ""compute"", ""hardness"": ""hard"", ""status"": ""met"", ""signals"": {""suspicious_amount"": false}}]",triage_v1,sim-run-001,1,10,"RECHNUNG Nr. INV-3909
Von: Summit Consulting Group | An: Initrode Inc
Datum: 2026-06-29
Leistung: Data Analysis
Betrag: $32421 USD
Zahlungsziel: 30 Tage

[Translation: Invoice from Summit Consulting Group to Initrode Inc, amount $32421, payment within 30 days]"
